state,month,year,rainfall_mm,pH,turbidity_NTU,dissolved_oxygen_mg_L,total_coliform_MPN,water_temp_C,risk_level,risk_score,primary_disease
Nagaland,July,2021,470.7,6.7,10.3,6.86,499,31.68,severe,102.05,Dysentery
Jharkhand,February,2020,36.3,7.48,5.1,5.99,106,15.0,moderate,35.65,None
Telangana,March,2022,17.7,7.76,6.19,5.63,96,33.17,moderate,48.02,Giardiasis
Sikkim,October,2023,119.5,7.3,6.59,7.57,109,20.7,moderate,29.58,Hepatitis A
Sikkim,May,2022,79.3,7.07,2.96,7.1,95,24.79,low,23.02,None
Uttar Pradesh,December,2021,98.4,6.62,0.93,10.88,169,16.2,low,22.56,None
West Bengal,October,2022,239.2,7.34,8.74,5.67,336,27.59,high,69.92,None
Assam,October,2021,125.7,7.38,2.38,10.17,103,28.8,low,23.26,None
Sikkim,October,2021,137.7,6.8,0.5,7.34,111,24.27,low,19.54,None
Punjab,March,2024,31.7,6.73,4.72,3.29,112,31.58,high,52.68,Hepatitis A
Bihar,November,2020,105.4,6.81,3.55,6.22,208,24.11,moderate,40.76,Dysentery
Bihar,August,2020,271.7,6.79,8.27,6.99,720,24.07,severe,97.72,Typhoid Fever
Jharkhand,May,2022,4.5,7.17,2.96,5.8,100,27.31,moderate,32.27,None
Goa,February,2022,52.9,6.69,5.07,7.43,81,19.06,low,24.19,None
Goa,March,2021,0.0,6.27,4.03,5.75,100,25.36,moderate,39.29,None
Haryana,January,2024,27.1,7.41,2.38,8.5,86,15.0,low,17.46,Cholera
Assam,March,2020,52.3,7.28,4.57,9.7,85,22.88,low,21.88,None
Arunachal Pradesh,June,2022,69.4,6.73,1.26,4.89,157,27.08,moderate,40.01,None
Telangana,March,2020,0.0,8.23,4.76,9.99,110,28.99,moderate,37.32,None
Meghalaya,March,2023,75.9,7.75,1.6,7.35,83,23.63,low,24.07,None
Punjab,December,2023,93.3,7.22,1.84,6.97,105,21.28,low,22.17,None
Telangana,January,2024,35.9,7.14,0.91,6.9,101,21.3,low,19.47,Hepatitis A
Mizoram,December,2021,125.7,6.91,4.67,5.02,109,22.87,moderate,37.48,None
Manipur,March,2022,12.8,7.32,2.91,6.61,99,28.2,moderate,29.97,Typhoid Fever
Arunachal Pradesh,February,2022,28.8,6.89,0.65,5.38,92,19.04,low,24.7,None
Tamil Nadu,March,2024,13.2,7.43,7.31,6.43,98,25.49,moderate,39.31,None
Chhattisgarh,September,2022,313.2,5.99,5.95,6.87,400,28.32,severe,86.17,Giardiasis
Andhra Pradesh,June,2020,183.4,6.62,5.5,4.73,145,27.37,moderate,49.33,Hepatitis A
Uttar Pradesh,June,2023,304.8,7.03,16.46,7.31,661,29.74,severe,129.17,Giardiasis
Manipur,March,2023,28.5,7.94,4.9,8.49,94,19.61,moderate,28.6,None
Andhra Pradesh,September,2024,150.3,7.59,5.01,6.39,166,22.99,moderate,42.06,None
Meghalaya,January,2021,68.5,7.71,4.16,7.08,121,20.72,moderate,32.48,None
Madhya Pradesh,April,2020,57.9,6.6,8.61,7.58,123,21.19,moderate,36.22,Giardiasis
Chhattisgarh,March,2024,11.9,6.86,2.61,6.9,101,27.79,moderate,26.11,None
Haryana,February,2023,41.1,7.68,2.08,5.34,109,19.54,moderate,35.16,None
Manipur,September,2024,328.2,7.38,13.55,4.82,415,28.14,severe,110.84,None
Mizoram,September,2022,328.2,6.4,7.83,8.66,387,17.79,high,72.43,Dysentery
Uttarakhand,May,2023,48.9,7.55,5.16,8.19,93,29.21,moderate,29.73,None
Mizoram,February,2023,42.9,7.51,4.34,7.64,93,18.28,low,24.88,None
Bihar,March,2022,13.0,7.79,1.93,6.6,198,23.1,moderate,40.11,None
Madhya Pradesh,September,2021,186.7,6.46,10.32,3.79,207,24.53,high,70.06,Cholera
Telangana,June,2020,463.9,6.92,10.42,7.27,525,20.93,severe,93.91,Hepatitis A
Nagaland,February,2022,51.7,6.59,8.79,7.45,113,17.54,moderate,35.73,Dysentery
Assam,February,2020,48.1,7.41,2.38,6.85,103,20.36,moderate,25.09,None
Tripura,August,2021,342.6,5.9,6.69,8.34,405,23.76,severe,80.11,None
Odisha,December,2021,40.8,6.47,2.83,3.49,95,20.06,moderate,43.04,None
Mizoram,September,2023,276.0,7.06,7.03,7.8,348,23.45,high,52.18,None
Jharkhand,April,2023,31.6,6.94,2.18,8.9,92,22.0,low,15.16,None
Rajasthan,March,2022,19.5,7.46,0.75,4.97,96,27.37,moderate,34.54,None
Rajasthan,February,2022,16.6,8.33,6.92,4.93,95,20.83,high,52.41,None
Kerala,December,2024,145.9,7.26,5.37,6.36,94,19.39,moderate,30.94,None
Mizoram,January,2023,30.2,7.3,3.98,4.65,100,17.84,moderate,37.71,None
Tripura,June,2023,169.9,7.72,3.93,6.8,174,29.06,moderate,42.99,Dysentery
Rajasthan,April,2021,3.7,8.35,4.65,5.74,105,25.95,moderate,47.57,None
Bihar,June,2020,337.3,6.66,13.52,3.88,801,29.36,severe,162.98,Dysentery
Gujarat,February,2020,18.7,7.51,2.07,6.98,112,18.31,moderate,25.54,None
Kerala,September,2021,318.0,6.99,9.74,8.0,405,30.82,severe,78.59,None
Jharkhand,January,2020,43.5,7.55,3.64,6.23,105,22.31,moderate,33.28,None
Chhattisgarh,January,2022,56.3,7.44,0.74,6.64,89,19.55,low,21.58,None
Punjab,March,2024,14.3,6.76,3.41,4.73,111,20.47,moderate,36.91,Cholera
Madhya Pradesh,October,2022,148.3,7.62,4.75,6.32,149,32.71,moderate,45.36,None
Chhattisgarh,February,2023,50.7,7.28,6.67,8.31,83,22.41,moderate,25.65,None
Nagaland,December,2024,142.2,6.92,5.8,6.88,112,26.2,moderate,32.3,None
Uttarakhand,April,2020,53.3,7.93,2.78,5.04,93,30.92,moderate,44.42,None
Mizoram,April,2020,29.7,6.88,5.5,6.82,93,28.96,moderate,31.88,None
Tripura,December,2022,86.2,6.84,5.42,7.72,118,16.18,moderate,25.64,None
Madhya Pradesh,September,2022,152.2,6.08,2.38,8.37,193,23.21,moderate,34.87,Hepatitis A
Madhya Pradesh,November,2024,106.9,6.29,3.8,3.14,142,26.01,high,56.2,Typhoid Fever
Assam,August,2021,384.6,6.26,6.15,5.71,424,25.96,severe,91.84,None
Maharashtra,May,2022,21.3,6.49,2.63,8.69,100,31.36,moderate,26.04,None
Kerala,April,2024,48.0,6.78,2.61,6.73,97,29.14,moderate,28.04,None
Tripura,March,2024,42.9,7.81,2.87,6.84,115,24.12,moderate,33.2,None
Odisha,August,2022,421.3,8.01,9.65,6.22,487,23.62,severe,106.57,Hepatitis A
Uttarakhand,April,2024,35.8,8.21,3.96,9.52,121,31.15,moderate,37.7,None
Himachal Pradesh,May,2020,16.6,7.66,4.75,8.36,107,28.45,moderate,31.02,None
Tamil Nadu,April,2023,15.4,7.03,8.37,8.17,96,29.3,moderate,31.29,Cholera
Haryana,January,2024,40.8,7.22,5.73,7.58,100,20.25,moderate,25.88,None
Mizoram,April,2023,26.9,7.0,3.46,6.2,105,29.03,moderate,30.94,None
Mizoram,May,2021,5.9,6.67,2.66,7.19,91,29.98,moderate,26.76,None
West Bengal,January,2020,0.0,7.58,7.62,3.79,160,22.93,high,59.55,Giardiasis
Andhra Pradesh,October,2021,46.2,6.9,2.68,6.85,102,24.07,low,24.34,Hepatitis A
Jharkhand,November,2022,199.8,6.82,6.89,6.22,111,18.87,moderate,35.58,None
Rajasthan,November,2022,31.5,8.07,4.75,7.31,98,22.28,moderate,34.59,None
Andhra Pradesh,April,2022,39.6,6.45,5.66,7.6,120,24.38,moderate,33.01,Giardiasis
Maharashtra,January,2022,4.8,7.38,0.5,6.66,99,19.59,low,21.4,None
Haryana,August,2024,328.4,6.53,10.13,7.62,354,22.96,severe,76.49,None
Madhya Pradesh,August,2022,217.7,6.68,10.07,7.92,447,28.59,high,72.74,Giardiasis
Telangana,February,2020,7.1,6.78,6.39,7.59,97,15.0,moderate,26.73,None
Sikkim,September,2022,248.4,7.02,4.21,6.59,358,28.07,high,55.5,None
Telangana,December,2020,98.7,7.71,1.1,6.67,101,19.22,moderate,26.05,None
Uttarakhand,September,2021,389.3,6.47,12.63,9.24,432,22.55,severe,90.04,Dysentery
Jharkhand,December,2021,0.0,5.5,2.78,7.19,106,20.92,moderate,35.67,None
Madhya Pradesh,August,2022,318.7,6.34,11.74,5.49,520,27.88,severe,118.28,Typhoid Fever
Nagaland,December,2024,98.9,7.32,0.67,7.05,91,26.76,low,21.77,Cholera
Rajasthan,April,2021,26.2,8.5,0.5,4.76,115,26.86,moderate,47.13,None
Sikkim,December,2021,93.7,7.55,4.01,6.48,117,17.06,moderate,32.82,None
Tripura,December,2022,85.9,7.16,5.15,6.68,97,18.7,moderate,28.2,None
Andhra Pradesh,December,2020,95.3,6.78,4.68,4.75,117,18.6,moderate,39.51,Cholera
Telangana,March,2020,4.2,7.31,5.34,7.08,92,22.52,moderate,28.84,None
Kerala,November,2020,121.7,6.84,1.77,6.53,103,21.52,low,23.55,None
Gujarat,January,2024,16.2,7.14,3.99,6.82,99,17.45,moderate,25.18,None
Odisha,February,2022,36.2,7.34,4.91,8.77,102,18.86,low,23.42,None
Andhra Pradesh,September,2022,375.4,7.48,10.35,9.87,423,22.54,severe,82.88,Hepatitis A
Nagaland,May,2024,8.5,6.03,4.18,7.19,89,27.13,moderate,34.57,None
Gujarat,April,2024,24.8,7.31,3.05,5.3,92,31.69,moderate,37.74,None
Jharkhand,September,2022,328.0,7.3,8.23,7.47,393,21.07,high,74.33,Hepatitis A
Assam,April,2024,46.4,6.27,0.5,5.8,100,22.56,moderate,30.58,None
Meghalaya,September,2023,454.4,6.59,12.0,6.14,499,24.52,severe,107.47,None
West Bengal,May,2020,0.0,7.23,7.23,6.47,145,32.14,moderate,44.98,None
Goa,November,2024,140.1,6.97,2.72,8.84,97,20.7,low,15.79,None
Maharashtra,May,2023,47.5,7.1,0.5,6.14,90,23.81,low,22.2,None
Gujarat,January,2023,0.0,7.73,2.19,5.91,102,18.11,moderate,32.33,None
Punjab,January,2020,82.2,7.18,3.8,7.09,93,16.36,low,23.25,None
Madhya Pradesh,November,2024,118.4,6.91,2.4,6.07,133,19.15,moderate,28.65,None
Tripura,October,2024,143.8,7.51,3.92,9.05,100,21.73,low,23.8,None
Uttarakhand,May,2022,29.3,7.61,1.79,7.63,110,27.82,moderate,26.44,None
Goa,July,2022,464.9,7.88,6.3,5.15,484,26.04,severe,104.48,None
Himachal Pradesh,April,2021,10.9,7.65,3.01,9.62,105,29.47,moderate,27.76,Giardiasis
Jharkhand,August,2024,194.7,7.73,8.7,7.54,157,29.75,moderate,47.58,None
Madhya Pradesh,August,2022,286.2,6.83,8.64,3.63,535,27.93,severe,98.3,Hepatitis A
Tamil Nadu,April,2024,57.2,7.7,4.07,8.37,82,29.36,moderate,28.02,None
Kerala,June,2022,316.9,5.89,10.15,8.0,391,28.19,severe,89.51,Giardiasis
Punjab,July,2022,180.7,7.37,8.26,8.63,157,23.76,moderate,37.8,Giardiasis
Meghalaya,June,2020,677.5,5.73,12.09,6.04,661,30.24,severe,141.48,Giardiasis
Madhya Pradesh,October,2020,151.2,7.27,7.22,8.35,133,25.47,moderate,33.17,None
Arunachal Pradesh,November,2021,136.9,7.74,5.49,8.3,107,21.02,moderate,29.59,None
Uttar Pradesh,March,2022,22.0,6.96,9.8,8.92,180,25.85,moderate,40.93,Cholera
Sikkim,January,2024,22.2,7.1,5.4,5.51,96,19.66,moderate,33.85,None
Arunachal Pradesh,June,2022,202.8,6.55,7.06,7.51,319,24.86,high,55.4,Cholera
Goa,April,2024,71.4,7.33,3.85,6.6,99,22.34,moderate,29.07,None
Odisha,December,2021,199.3,6.94,4.6,5.75,91,16.3,moderate,30.15,None
Madhya Pradesh,March,2023,4.0,7.01,5.03,6.92,140,24.55,moderate,31.84,None
Himachal Pradesh,April,2023,40.4,8.41,4.87,3.1,90,26.53,high,60.61,None
Tripura,January,2022,41.3,7.29,2.1,7.4,96,19.42,low,19.7,None
Telangana,March,2020,0.0,7.28,4.04,7.38,118,27.88,moderate,29.72,Typhoid Fever
Bihar,November,2024,140.9,6.96,11.79,8.62,188,17.52,moderate,42.78,Cholera
Odisha,February,2024,28.3,7.11,1.24,5.31,95,25.5,moderate,29.28,None
Goa,March,2022,56.8,6.28,6.04,9.47,100,29.28,moderate,33.92,None
Mizoram,June,2021,372.9,6.56,6.83,7.15,436,31.58,severe,86.04,Giardiasis
Punjab,September,2024,244.9,7.45,3.0,7.41,340,21.76,moderate,48.33,None
Himachal Pradesh,January,2021,7.1,7.11,1.25,9.29,106,18.11,low,14.2,None
West Bengal,November,2022,256.6,5.52,11.0,8.56,369,22.84,severe,75.12,None
Bihar,October,2022,56.4,7.45,7.27,8.13,218,26.96,moderate,44.32,None
Chhattisgarh,December,2022,31.7,7.6,2.14,7.08,87,16.95,low,23.58,None
Mizoram,February,2020,5.4,7.84,2.5,8.85,84,21.14,low,22.37,Giardiasis
Goa,August,2022,351.2,7.01,10.61,6.53,423,24.85,severe,88.07,Giardiasis
Himachal Pradesh,June,2022,204.6,6.99,7.54,5.52,297,27.26,high,60.91,None
Arunachal Pradesh,October,2024,127.3,7.14,5.22,7.54,89,28.31,moderate,27.19,None
Uttarakhand,July,2024,234.0,7.99,9.99,4.99,339,24.94,severe,81.3,Hepatitis A
Uttarakhand,August,2020,331.8,7.7,8.4,4.7,394,26.18,severe,99.35,Hepatitis A
Gujarat,January,2023,2.9,7.09,3.77,7.33,106,17.61,low,22.39,None
Goa,March,2022,0.0,7.01,4.65,7.94,99,28.99,low,24.09,Typhoid Fever
Odisha,March,2021,44.0,7.58,8.27,6.46,105,20.71,moderate,40.9,None
Himachal Pradesh,April,2021,45.3,7.06,4.63,8.68,105,29.93,moderate,25.32,None
Jharkhand,November,2021,115.4,6.35,0.9,6.98,101,22.85,low,24.93,Cholera
Karnataka,September,2020,373.9,6.46,9.91,6.99,403,24.08,severe,87.13,Dysentery
Nagaland,February,2023,32.1,7.2,3.09,9.02,96,17.47,low,17.78,Cholera
Uttar Pradesh,December,2023,112.2,7.36,4.47,6.53,165,22.05,moderate,37.41,Giardiasis
Karnataka,June,2020,188.3,7.26,7.64,7.5,159,24.35,moderate,38.45,None
West Bengal,October,2020,187.5,7.47,5.52,8.9,160,29.42,moderate,36.45,None
Jharkhand,December,2024,144.7,7.1,6.12,6.8,105,15.07,moderate,29.74,None
Haryana,January,2021,48.3,7.28,5.67,5.63,98,21.13,moderate,36.36,Cholera
Meghalaya,August,2020,468.1,6.56,10.06,7.41,499,21.55,severe,93.77,None
Meghalaya,March,2021,64.0,7.33,3.25,4.56,94,26.47,moderate,39.64,None
Karnataka,December,2023,102.2,8.05,3.13,6.7,101,17.93,moderate,33.36,Dysentery
Himachal Pradesh,July,2021,416.6,7.07,11.76,8.51,465,23.13,severe,86.74,None
Chhattisgarh,September,2020,271.2,7.06,5.29,7.92,342,26.43,moderate,48.99,None
Arunachal Pradesh,May,2020,43.6,7.5,3.86,7.26,101,23.98,moderate,28.51,Giardiasis
Meghalaya,September,2022,642.8,7.5,17.43,6.85,636,24.54,severe,133.78,Dysentery
Uttar Pradesh,January,2021,45.4,7.4,0.93,5.84,205,22.15,moderate,38.24,None
Arunachal Pradesh,May,2021,25.2,7.39,2.94,5.74,100,26.71,moderate,34.43,None
Meghalaya,September,2020,218.2,6.3,3.96,7.04,355,30.9,high,60.67,None
Rajasthan,December,2020,56.7,8.44,4.92,7.85,94,20.04,moderate,34.41,None
Goa,April,2023,20.9,7.23,4.62,7.02,103,32.51,moderate,33.0,None
Tripura,December,2020,62.5,8.46,5.4,7.81,83,19.48,moderate,34.65,None
Rajasthan,September,2020,168.4,8.24,4.64,4.83,138,19.26,high,51.33,None
Goa,January,2023,38.6,7.88,3.71,7.0,89,17.91,moderate,30.12,None
Tamil Nadu,September,2024,208.8,6.81,8.01,7.06,273,24.07,high,51.96,Dysentery
Telangana,June,2024,320.5,7.6,11.32,7.82,388,32.97,severe,89.79,Giardiasis
Andhra Pradesh,December,2024,123.8,8.58,2.63,6.49,97,20.14,moderate,38.38,None
Nagaland,December,2020,155.0,6.35,3.88,7.28,96,20.47,moderate,27.7,None
Uttar Pradesh,May,2024,61.3,6.89,5.81,5.73,180,24.82,moderate,44.48,None
Manipur,January,2020,57.9,7.19,1.85,6.5,88,21.02,low,22.41,None
Bihar,July,2020,414.7,6.46,14.35,6.0,957,23.25,severe,169.71,Typhoid Fever
Tripura,December,2022,165.2,7.53,6.4,6.77,106,27.46,moderate,38.58,None
Rajasthan,February,2021,30.8,7.97,2.77,5.64,101,21.7,moderate,37.99,None
West Bengal,February,2022,17.2,6.33,5.31,5.45,142,23.6,moderate,46.07,Typhoid Fever
Haryana,October,2023,94.3,7.05,5.33,6.21,81,18.65,moderate,28.21,None
Odisha,August,2023,284.7,7.36,7.27,7.69,342,25.31,high,56.55,None
Telangana,July,2020,381.2,6.66,9.48,6.38,442,27.35,severe,94.0,Giardiasis
Chhattisgarh,October,2024,49.0,6.85,4.96,8.15,99,22.43,low,22.54,None
Tripura,January,2020,18.3,6.54,2.39,7.53,118,21.28,low,24.17,None
West Bengal,March,2024,19.9,6.79,7.77,7.69,142,29.34,moderate,38.06,None
Telangana,March,2020,44.1,7.13,1.05,6.76,107,29.14,low,24.87,None
Kerala,April,2021,61.7,6.99,1.12,4.79,97,29.14,moderate,32.66,None
Rajasthan,November,2024,42.8,8.5,6.38,4.92,81,23.97,high,53.24,None
Chhattisgarh,October,2022,123.5,6.21,4.9,8.07,100,24.19,moderate,29.8,None
Himachal Pradesh,November,2020,91.6,7.18,4.4,7.51,87,22.13,low,22.81,None
Chhattisgarh,September,2024,308.3,6.29,8.91,7.83,393,30.81,severe,84.57,Typhoid Fever
Odisha,October,2024,101.6,8.37,4.13,9.04,107,25.53,moderate,35.42,Typhoid Fever
Tripura,August,2020,268.0,7.06,5.71,7.91,351,27.9,high,51.52,None
Andhra Pradesh,August,2020,324.9,7.43,10.09,8.71,373,22.95,severe,75.91,None
Tripura,June,2020,175.9,7.43,8.72,5.69,151,27.61,high,52.19,Dysentery
Bihar,October,2024,60.3,7.12,4.37,6.24,186,17.36,moderate,37.34,None
Mizoram,March,2020,3.9,7.16,8.07,8.32,97,28.4,moderate,31.64,Dysentery
Odisha,July,2024,361.3,6.48,10.24,5.66,417,29.72,severe,100.73,Hepatitis A
Chhattisgarh,July,2021,311.3,7.15,1.02,6.74,394,22.71,high,60.71,Hepatitis A
Telangana,July,2022,261.4,6.96,2.55,6.92,373,20.62,moderate,48.51,None
Tamil Nadu,January,2020,14.3,6.67,7.38,7.55,93,23.13,moderate,31.18,None
Bihar,August,2021,366.4,7.13,15.89,8.87,861,22.78,severe,144.68,Hepatitis A
Meghalaya,August,2020,456.1,6.95,12.35,7.57,507,21.77,severe,94.72,Dysentery
Nagaland,January,2022,0.0,8.09,5.42,7.29,107,15.0,moderate,35.99,Giardiasis
West Bengal,December,2024,116.3,7.93,3.25,7.55,160,15.0,moderate,34.05,None
Meghalaya,May,2020,53.2,7.1,5.03,8.37,90,25.67,low,22.89,Dysentery
Meghalaya,May,2022,54.2,7.78,3.69,9.7,94,30.83,moderate,30.0,None
Madhya Pradesh,August,2023,428.2,8.32,14.61,8.02,674,28.7,severe,137.0,Hepatitis A
Maharashtra,August,2021,196.1,7.35,7.88,6.34,156,22.62,moderate,44.47,None
Mizoram,November,2023,104.1,6.61,5.84,8.24,97,20.49,moderate,25.52,None
Uttar Pradesh,October,2023,47.4,6.82,4.69,7.86,167,23.28,moderate,30.22,None
Madhya Pradesh,August,2021,239.0,7.47,5.75,9.19,451,24.63,high,63.61,Cholera
Himachal Pradesh,February,2024,0.0,7.07,0.94,5.16,95,16.96,moderate,26.28,None
Telangana,August,2023,353.0,7.03,6.94,9.23,411,18.8,high,66.34,Giardiasis
